"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"October 21, 2009","Bullitt County Public Schools","Shepherdsville","Kentucky","Unintended Disclosure","Educational Institutions","676",676,"A Bullitt County Public Schools 
            employee accidentally sent an e-mail message to about 1,800 school 
            district workers that included the names and Social Security numbers 
            of 676 district employees. The employees were identified as not having 
            completed the district's 2010 open-enrollment process for insurance, 
            and the e-mail was intended as a reminder to complete the process.","Dataloss DB","2009",-85.7157924,37.9883991
"October 21, 2009","Roane State Community College ","Harriman","Tennessee","Portable Device","Educational Institutions","14,783",14783,"Roane State Community College 
            has announced that the names and Social Security numbers of 9,747 
            current or former students were on a data storage device stolen from 
            an employee's vehicle, along with 1,194 current/former employees' 
            information. The Social Security numbers alone, with no names, were 
            also stolen for 5,036 additional current or former students. The data 
            was on a 4GB USB drive used for work-related purposes. An employee 
            took it home to do work after hours, and left it in the car. The employee 
            forgot to lock the car doors. The USB drive was stolen along with 
            a personal hand-held device.","Dataloss DB","2009",-84.5524358,35.9339638
"October 15, 2009","Halifax Health","Daytona","Beach","Portable Device","Healthcare Medical Providers and Medical Insurance Services","33,000",33000,"A laptop computer from a Halifax 
            Health employee's vehicle in Orange County was stolen -- which might 
            have contained password protected patient information.","Dataloss DB","2009",-81.0228331,29.2108147
"October 4, 2009","Suffolk Community College","Selden","New","Unintended Disclosure","Educational Institutions","300",300,"Suffolk Community College has 
            agreed to pay a company for the next year to monitor the credit of 
            300 students whose last names and Social Security numbers were mistakenly 
            listed in an attachment to an e-mail sent to those students last month.","Dataloss DB","2009",-73.0356625,40.8664873
"September 28, 2009","Penrose Hospital","Colorado","Springs","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","175",175,"Officials at Penrose Hospital              believe someone has stolen the personal information of 175 patients.              The missing information consists of names, addresses, phone numbers,              Social Security numbers and the reason for the patients' visits. The              information was stored on a computer print-out and kept in a binder              stored in a cabinet. The print out has gone missing.","Dataloss DB","2009",-104.8213634,38.8338816
"September 23, 2009","Eastern Kentucky University","Richmond","Kentucky","Unintended Disclosure","Educational Institutions","5,045",5045,"The names and Social Security 
            numbers of about 5,000 Eastern Kentucky University faculty, staff 
            and student workers were posted inadvertently on the Internet last 
            September, where they have been displayed for a year.","Dataloss DB","2009",-84.2946539,37.7478572
"September 22, 2009","Bernard Madoff Investors","Dallas","Texas","Portable Device","Financial and Insurance Services","2,246",2246,"More than 2,200 Bernard Madoff 
            investors are learning that some of their personal and financial information 
            has potentially been breached after the theft of a laptop in Dallas. 
            The names, addresses, Social Security numbers and some Madoff account 
            information on 2,246 investors was contained in a computer stolen 
            from the car of an employee of AlixPartners Llp.","Dataloss DB","2009",-96.7969879,32.7766642
"September 22, 2009","Sagebrush Medical Plaza/Kern Medical Center","Bakersfield","California","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","31,000",31000,"Thousands of patients at a Kern 
            County health clinic have been warned their personal information could 
            have been stolen. A break-in happened at the Sagebrush Medical Plaza 
            in July, and Kern Medical Center officials have notified 31,000 patients 
            to take precautions against possible identity theft. One or more unknown 
            individuals broke into a locked storage area that contained confidential 
            patient information. All patient information has now been moved to 
            a location inside the clinic building.","Dataloss DB","2009",-119.0187125,35.3732921
"September 21, 2009","Rocky Mountain Bank","Pinedale","Wyoming","Unintended Disclosure","Financial and Insurance Services","1,325",1325,"A customer of the Rocky Mountain 
            Bank asked a bank employee to send certain loan statements to a representative 
            of the customer. The employee, however, inadvertently sent the e-mail 
            to the wrong Gmail address. Additionally, the employee had attached 
            a sensitive file to the e-mail that should not have been sent at all. 
            The attachment contained confidential information on 1,325 individual 
            and business customers that included their names, addresses, tax identification 
            or Social Security numbers and loan information.","Dataloss DB","2009",-109.8633501,42.8678809
"September 14, 2009","University of Florida        ","Gainesville","Florida","Unintended Disclosure","Educational Institutions","25",25,"In August, the University's 
            Privacy Office was notified of a privacy breach after the discovery 
            of an unprotected computer file containing 34 names and 25 Social 
            Security numbers. It's believed the personal information belongs to 
            trainers working with the Florida Traffic and Bicycle Safety Education 
            program in 2006. The file was immediately removed.","Dataloss DB","2009",-82.3248262,29.6516344
"September 14, 2009","Jones General Store/Root of the Hill","Boulder","Colorado","Physical Loss","Retail Merchant Including Online Retail","0",0,"Boulder police are investigating 
            two burglaries on University Hill that could have compromised some 
            local shoppers' personal and credit card information. A manager for 
            Jones General Store called police to report an overnight break-in 
            and theft of credit card receipts. A short time later, an owner of 
            Root of the Hill, a business in the same building, called officers 
            to report a break-in, theft and extensive vandalism.","Dataloss DB","2009",-105.2705456,40.0149856
"September 2, 2009","Bluegrass Community and Technical College","Danville","Kentucky","Unknown","Educational Institutions","100",100,"A file containing the personal 
            information including Social Security numbers of nearly 100 students 
            at the Bluegrass Community and Technical College has been stolen.","Dataloss DB","2009",-84.7721702,37.6456329
"September 2, 2009","Naval Hospital Pensacola","Pensacola","Florida","Portable Device","Healthcare Medical Providers and Medical Insurance Services","38,000",38000,"Naval Hospital Pensacola will 
            be notifying thousands of beneficiaries who use its pharmacy services, 
            following the disappearance of a laptop computer. The computer's database 
            contains a registry of 38,000 pharmacy service customers' names, Social 
            Security numbers and dates of birth on all patients that used the 
            pharmacy in the last year. It does not contain any personal health 
            information.","Dataloss DB","2009",-87.2169149,30.421309
"August 21, 2009","University of Massachusetts","Amherst","Massachusetts","Hacking or Malware","Educational Institutions","0",0,"Nearly a year ago, hackers broke 
            into a computer server that contained Social Security numbers and 
            a very limited amount of credit card information for 
            graduates of University of Massachusetts. Hackers gained access to 
            one server on the university's computer system, which held information 
            of students who attended UMass between 1982 and 2002, as well as a 
            few who attended before 1982. A UMass spokesman declined to say how 
            many people's records were exposed, except that it was a 
            large number of undergraduate and graduate students who attended 
            the university during the 20-year period.","Dataloss DB","2009",-72.5198537,42.3732216
"August 15, 2009","Northern Kentucky University","Highland","Heights","Portable Device","Educational Institutions","200",200,"A Northern Kentucky University 
            employee's laptop computer - which contained personal information 
            about some current and former students -- was stolen from a restricted 
            area. The personal information stored on the employee's computer included 
            Social Security numbers of at least 200 current and former students.","Dataloss DB","2009",-81.4784522,41.5519954
"August 14, 2009","Calhoun Area Career Center","Battle","Creek","Unintended Disclosure","Educational Institutions","455",455,"Personal information from 455 
            students at Calhoun Area Career Center during the 2005-2006 school 
            year was available online for more than three years. The information 
            included names, Social Security numbers, 2006 addresses and telephone 
            numbers, birth dates and school information. There were about 1,000 
            students at the career center during that time, but an investigation 
            by the Calhoun County Intermediate School district found that information 
            for 455 students was available.","Dataloss DB","2009",-85.1797142,42.3211522
"August 3, 2009","National Finance Center","Washington","District","Unintended Disclosure","Government and Military","27,000",27000,"An employee with the National 
            Finance Center mistakenly sent an Excel spreadsheet containing the 
            employees' personal information to a co-worker via e-mail in an unencrypted 
            form. The names and Social Security numbers of at least 27,000 Commerce 
            Department employees were exposed.","Media","2009",-120.7401385,47.7510741
"July 22, 2009","A Honolulu hospital","Honolulu","Hawaii","Insider","Healthcare Medical Providers and Medical Insurance Services","0",0,"In June 2009, a Hawaii woman 
            was sentenced to a year in prison for illegally accessing another 
            woman's medical records and posting on MySpace that she had HIV. The 
            State of Hawaii brought charges under a state law that criminalizes 
            unauthorized access to a computer as a class B felony. The defendant 
            was employed by a hospital and had access to patient medical records.","Media","2009",-157.8583333,21.3069444
